Sample in Buffer,Sample in Window,TRIGGER,design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_X_1_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_3[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_4[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_Y_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_3[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_3_prev[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_2[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_1[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_X_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_X_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_Y_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_Y_2_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_Y_1_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_X_2_muxed[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
1,1,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
2,2,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
3,3,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
4,4,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
5,5,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
6,6,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
7,7,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
8,8,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
9,9,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
10,10,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
11,11,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
12,12,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
13,13,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
14,14,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
15,15,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
16,16,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
17,17,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
18,18,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
19,19,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
20,20,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
21,21,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
22,22,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
23,23,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
24,24,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
25,25,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
26,26,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
27,27,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
28,28,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
29,29,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
30,30,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
31,31,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
32,32,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
33,33,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
34,34,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
35,35,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
36,36,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
37,37,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
38,38,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
39,39,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
40,40,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
41,41,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
